team_id,project_id,compatibility_score
1,1,0.70
1,2,0.75
1,3,0.10
1,4,0.20
1,5,0.25
1,6,0.65
1,7,0.80
1,8,0.15
1,9,0.85
1,10,0.20
1,11,0.15
1,12,0.70
1,13,0.10
1,14,0.20
1,15,0.20
1,16,0.65
1,17,0.70
1,18,0.10
1,19,0.20
1,20,0.05
2,1,0.65
2,2,0.85
2,3,0.25
2,4,0.55
2,5,0.15
2,6,0.60
2,7,0.70
2,8,0.50
2,9,0.60
2,10,0.30
2,11,0.60
2,12,0.70
2,13,0.25
2,14,0.15
2,15,0.15
2,16,0.55
2,17,0.65
2,18,0.35
2,19,0.40
2,20,0.05
3,1,0.10
3,2,0.60
3,3,0.20
3,4,0.85
3,5,0.10
3,6,0.10
3,7,0.65
3,8,0.15
3,9,0.70
3,10,0.10
3,11,0.30
3,12,0.60
3,13,0.25
3,14,0.80
3,15,0.10
3,16,0.15
3,17,0.65
3,18,0.25
3,19,0.85
3,20,0.05
4,1,0.10
4,2,0.60
4,3,0.10
4,4,0.20
4,5,0.80
4,6,0.10
4,7,0.65
4,8,0.10
4,9,0.60
4,10,0.85
4,11,0.10
4,12,0.60
4,13,0.10
4,14,0.10
4,15,0.90
4,16,0.10
4,17,0.65
4,18,0.10
4,19,0.25
4,20,0.05
5,1,0.85
5,2,0.60
5,3,0.10
5,4,0.55
5,5,0.15
5,6,0.90
5,7,0.65
5,8,0.10
5,9,0.60
5,10,0.15
5,11,0.85
5,12,0.60
5,13,0.10
5,14,0.55
5,15,0.15
5,16,0.80
5,17,0.65
5,18,0.10
5,19,0.55
5,20,0.05
6,1,0.60
6,2,0.85
6,3,0.10
6,4,0.25
6,5,0.15
6,6,0.75
6,7,0.90
6,8,0.10
6,9,0.70
6,10,0.20
6,11,0.10
6,12,0.80
6,13,0.10
6,14,0.20
6,15,0.15
6,16,0.70
6,17,0.85
6,18,0.10
6,19,0.20
6,20,0.05
7,1,0.55
7,2,0.75
7,3,0.10
7,4,0.55
7,5,0.10
7,6,0.70
7,7,0.70
7,8,0.10
7,9,0.70
7,10,0.15
7,11,0.70
7,12,0.75
7,13,0.10
7,14,0.55
7,15,0.10
7,16,0.65
7,17,0.70
7,18,0.25
7,19,0.40
7,20,0.05
8,1,0.10
8,2,0.60
8,3,0.15
8,4,0.80
8,5,0.10
8,6,0.15
8,7,0.60
8,8,0.10
8,9,0.75
8,10,0.10
8,11,0.15
8,12,0.60
8,13,0.20
8,14,0.80
8,15,0.10
8,16,0.15
8,17,0.60
8,18,0.25
8,19,0.85
8,20,0.05
9,1,0.10
9,2,0.55
9,3,0.20
9,4,0.50
9,5,0.85
9,6,0.65
9,7,0.55
9,8,0.15
9,9,0.70
9,10,0.30
9,11,0.65
9,12,0.60
9,13,0.25
9,14,0.50
9,15,0.90
9,16,0.10
9,17,0.60
9,18,0.25
9,19,0.40
9,20,0.05
10,1,0.65
10,2,0.60
10,3,0.25
10,4,0.55
10,5,0.15
10,6,0.85
10,7,0.70
10,8,0.50
10,9,0.60
10,10,0.30
10,11,0.60
10,12,0.70
10,13,0.25
10,14,0.15
10,15,0.15
10,16,0.60
10,17,0.65
10,18,0.35
10,19,0.40
10,20,0.05
11,1,0.85
11,2,0.60
11,3,0.10
11,4,0.55
11,5,0.15
11,6,0.90
11,7,0.65
11,8,0.10
11,9,0.60
11,10,0.15
11,11,0.85
11,12,0.60
11,13,0.10
11,14,0.55
11,15,0.15
11,16,0.80
11,17,0.65
11,18,0.10
11,19,0.55
11,20,0.05
12,1,0.60
12,2,0.85
12,3,0.10
12,4,0.25
12,5,0.15
12,6,0.75
12,7,0.90
12,8,0.10
12,9,0.70
12,10,0.20
12,11,0.10
12,12,0.80
12,13,0.10
12,14,0.20
12,15,0.15
12,16,0.70
12,17,0.85
12,18,0.10
12,19,0.20
12,20,0.05
13,1,0.55
13,2,0.75
13,3,0.10
13,4,0.55
13,5,0.10
13,6,0.70
13,7,0.70
13,8,0.10
13,9,0.70
13,10,0.15
13,11,0.70
13,12,0.75
13,13,0.10
13,14,0.55
13,15,0.10
13,16,0.65
13,17,0.70
13,18,0.25
13,19,0.40
13,20,0.05
14,1,0.55
14,2,0.75
14,3,0.10
14,4,0.55
14,5,0.10
14,6,0.70
14,7,0.70
14,8,0.10
14,9,0.70
14,10,0.15
14,11,0.70
14,12,0.75
14,13,0.10
14,14,0.55
14,15,0.10
14,16,0.65
14,17,0.70
14,18,0.25
14,19,0.40
14,20,0.05
15,1,0.10
15,2,0.50
15,3,0.15
15,4,0.60
15,5,0.20
15,6,0.75
15,7,0.55
15,8,0.10
15,9,0.60
15,10,0.15
15,11,0.70
15,12,0.55
15,13,0.20
15,14,0.55
15,15,0.15
15,16,0.15
15,17,0.55
15,18,0.25
15,19,0.50
15,20,0.05
16,1,0.85
16,2,0.60
16,3,0.10
16,4,0.55
16,5,0.15
16,6,0.90
16,7,0.65
16,8,0.10
16,9,0.60
16,10,0.15
16,11,0.85
16,12,0.60
16,13,0.10
16,14,0.55
16,15,0.15
16,16,0.80
16,17,0.65
16,18,0.10
16,19,0.55
16,20,0.05
17,1,0.45
17,2,0.65
17,3,0.10
17,4,0.40
17,5,0.10
17,6,0.55
17,7,0.55
17,8,0.30
17,9,0.60
17,10,0.10
17,11,0.55
17,12,0.65
17,13,0.10
17,14,0.40
17,15,0.10
17,16,0.50
17,17,0.65
17,18,0.20
17,19,0.30
17,20,0.05
18,1,0.10
18,2,0.10
18,3,0.10
18,4,0.90
18,5,0.10
18,6,0.10
18,7,0.70
18,8,0.10
18,9,0.70
18,10,0.10
18,11,0.10
18,12,0.70
18,13,0.80
18,14,0.85
18,15,0.10
18,16,0.10
18,17,0.75
18,18,0.90
18,19,0.90
18,20,0.05
19,1,0.10
19,2,0.10
19,3,0.10
19,4,0.15
19,5,0.90
19,6,0.10
19,7,0.65
19,8,0.10
19,9,0.50
19,10,0.85
19,11,0.10
19,12,0.60
19,13,0.10
19,14,0.10
19,15,0.90
19,16,0.10
19,17,0.60
19,18,0.10
19,19,0.80
19,20,0.05
20,1,0.10
20,2,0.10
20,3,0.10
20,4,0.10
20,5,0.10
20,6,0.85
20,7,0.55
20,8,0.10
20,9,0.50
20,10,0.20
20,11,0.75
20,12,0.55
20,13,0.10
20,14,0.55
20,15,0.15
20,16,0.75
20,17,0.55
20,18,0.10
20,19,0.40
20,20,0.05
1,1,0.85
1,2,0.40
1,3,0.05
1,4,0.45
1,5,0.30
1,6,0.40
1,7,0.40
1,8,0.10
1,9,0.45
1,10,0.05
1,11,0.40
1,12,0.15
1,13,0.05
1,14,0.45
1,15,0.05
1,16,0.45
1,17,0.40
1,18,0.10
1,19,0.40
1,20,0.45
2,1,0.65
2,2,0.85
2,3,0.65
2,4,0.60
2,5,0.30
2,6,0.60
2,7,0.75
2,8,0.15
2,9,0.65
2,10,0.10
2,11,0.60
2,12,0.70
2,13,0.75
2,14,0.30
2,15,0.05
2,16,0.50
2,17,0.70
2,18,0.10
2,19,0.10
2,20,0.10
3,1,0.45
3,2,0.40
3,3,0.20
3,4,0.85
3,5,0.30
3,6,0.40
3,7,0.85
3,8,0.10
3,9,0.80
3,10,0.05
3,11,0.40
3,12,0.60
3,13,0.15
3,14,0.80
3,15,0.05
3,16,0.35
3,17,0.55
3,18,0.10
3,19,0.10
3,20,0.10
4,1,0.40
4,2,0.15
4,3,0.05
4,4,0.45
4,5,0.85
4,6,0.30
4,7,0.15
