id,team_name,specialization
1,CloudCoders,Cloud Engineering
2,MLMasters,Machine Learning
3,DataDragons,Data Science
4,DevOpsDynamos,DevOps
5,WebWarriors,Web Development
6,CloudCrusaders,Cloud Engineering
7,MLMages,Machine Learning
8,DataDolphins,Data Science
9,DevOpsDevils,DevOps
10,WebWizards,Web Development
11,CloudCommanders,Cloud Engineering
12,MLMonsters,Machine Learning
13,DataDetectives,Data Science
14,DevOpsDefenders,DevOps
15,WebWeavers,Web Development
16,CloudChampions,Cloud Engineering
17,MLLearners,Machine Learning
18,DataDinos,Data Science
19,DevOpsDreamTeam,DevOps
20,WebZephyrs,Web Development

21,CloudCoders,Cloud
22,MLMasters,ML
23,DataDreamers,Data
24,DevOpsDynamos,DevOps
25,WebWeavers,Web
26,CloudShapers,Cloud
27,MLMinds,ML
28,DataDominators,Data
29,DevOpsDefenders,DevOps
30,WebWizards,Web
31,CloudCrackers,Cloud
32,MLInnovators,ML
33,DataDetectives,Data
34,DevOpsDevelopers,DevOps
35,WebWarriors,Web
36,CloudClimbers,Cloud
37,MLMavericks,ML
38,DataDiggers,Data
39,DevOpsArchers,DevOps
40,WebVoyagers,Web
